Date,depth[m],Temp[degC]
2016-03-08,0.0,5.12
2016-03-08,1.0,5.1
2016-03-08,2.0,5.06
2016-03-08,3.0,4.99
2016-03-08,4.0,4.97
2016-03-08,5.0,4.98
2016-03-08,6.0,4.97
2016-03-08,7.0,4.95
2016-03-08,8.0,4.95
2016-03-08,9.0,4.93
2016-03-08,10.0,4.93
2016-03-08,11.0,4.93
2016-03-08,12.0,4.955
2016-03-08,13.0,4.98
2016-03-08,14.0,4.98
2016-03-08,15.0,4.98
2016-03-08,16.0,4.98
2016-05-11,1.0,16.9912611860974
2016-05-11,2.0,15.984478748636771
2016-05-11,3.0,14.831889425459023
2016-05-11,4.0,12.443173810217823
2016-05-11,5.0,11.159342087128415
2016-05-11,6.0,9.49315346355306
2016-05-11,7.0,7.364427209863443
2016-05-11,8.0,6.904110327070285
2016-05-11,9.0,6.870423391122805
2016-05-11,10.0,6.262022050826052
2016-05-11,11.0,6.34529631968924
2016-05-11,12.0,6.1061574998149215
2016-05-11,13.0,6.3460644865429074
2016-05-11,14.0,6.057944164926926
2016-05-20,3.0,13.985144619485729
2016-05-20,4.0,12.41601739495037
2016-05-20,5.0,11.532112501279142
2016-05-20,6.0,9.733800510716767
2016-05-20,7.0,7.57868287197242
2016-05-20,8.0,6.798865189841588
2016-05-20,9.0,6.4981846982128175
2016-05-20,10.0,6.2641975104726955
2016-05-20,11.0,6.173991163688033
2016-05-20,12.0,6.139921123214027
2016-05-20,13.0,6.069278419471081
2016-05-20,14.0,5.961674193805097
2016-06-22,3.0,18.71747263104992
2016-06-22,4.0,17.640709649478723
2016-06-22,5.0,16.059930707939316
2016-06-22,6.0,12.51781641617358
2016-06-22,7.0,9.215900287404905
2016-06-22,8.0,7.63169125105664
2016-06-22,9.0,6.87721523824354
2016-06-22,10.0,6.514902054259238
2016-06-22,11.0,6.3655288510112165
2016-06-22,12.0,6.301047696834481
2016-06-22,13.0,6.207145549638397
2016-06-22,14.0,6.142786096191776
2016-07-19,1.0,23.694380842375196
2016-07-19,2.0,23.103108907046362
2016-07-19,3.0,22.238217385892117
2016-07-19,4.0,21.318141701999245
2016-07-19,5.0,20.336961088059013
2016-07-19,6.0,15.948303250640064
2016-07-19,7.0,12.044400095954353
2016-07-19,8.0,9.105069278008305
2016-07-19,9.0,7.361975055325039
2016-07-19,10.0,7.092810854036446
2016-07-19,11.0,6.663855586608087
2016-07-19,12.0,6.438399158677924
2016-07-19,13.0,6.351418888237419
2016-07-19,14.0,6.284987330709672
2016-10-04,1.0,18.397091923764965
2016-10-04,2.0,18.446490957024196
2016-10-04,3.0,18.440170635683764
2016-10-04,4.0,18.443631029914528
2016-10-04,5.0,18.41164379120879
2016-10-04,6.0,18.434553193473192
2016-10-04,7.0,15.009275872061966
2016-10-04,8.0,11.563659329388543
2016-10-04,9.0,9.46580204102576
2016-10-04,10.0,7.9811174738841375
2016-10-04,11.0,6.989560918803419
2016-10-04,12.0,6.790816009813231
2016-10-04,13.0,6.616619654832347
2016-10-04,14.0,6.453739459207458
2016-10-14,2.0,14.38288021058389
2016-10-14,3.0,14.385027801403893
2016-10-14,4.0,14.38052408486156
2016-10-14,5.0,14.399013399302962
2016-10-14,6.0,14.396788640278816
2016-10-14,7.0,14.389423007153807
2016-10-14,8.0,12.204690342777885
2016-10-14,9.0,9.224031410305225
2016-10-14,10.0,7.994823853829556
2016-10-14,11.0,7.148735922986092
2016-10-14,12.0,6.884900357394115
2016-10-14,13.0,6.676536224953522
2016-10-14,14.0,6.545311917248888
2016-10-26,0.0,13.11
2016-10-26,1.0,13.11
2016-10-26,2.0,13.1
2016-10-26,3.0,13.11
2016-10-26,4.0,13.11
2016-10-26,5.0,13.1
2016-10-26,6.0,13.09
2016-10-26,7.0,13.05
2016-10-26,8.0,12.67
2016-10-26,9.0,10.13
2016-10-26,10.0,8.06
2016-10-26,11.0,7.39
2016-10-26,12.0,7.02
2016-10-26,13.0,6.79
2016-10-26,14.0,6.6
2016-10-26,15.0,6.6
2016-10-26,16.0,6.6
2016-10-27,1.0,13.038889695504707
2016-10-27,2.0,13.036221609294321
2016-10-27,3.0,13.031213617155188
2016-10-27,4.0,13.02919321445783
2016-10-27,5.0,13.030719212283918
2016-10-27,6.0,13.006515183661476
2016-10-27,7.0,12.997589072094831
2016-10-27,8.0,12.619733857880496
2016-10-27,9.0,10.096830058931372
2016-10-27,10.0,8.070041964046665
2016-10-27,11.0,7.399006247342306
2016-10-27,12.0,7.0719928506979475
2016-10-27,13.0,6.792751613031071
2016-10-27,14.0,6.550624141566265
2016-11-09,1.0,10.704908536585366
2016-11-09,2.0,10.710718315412185
2016-11-09,3.0,10.71195003030303
2016-11-09,4.0,10.709825277777778
2016-11-09,5.0,10.706316105919004
2016-11-09,6.0,10.704955246913581
2016-11-09,7.0,10.69892847826087
2016-11-09,8.0,10.697295525114155
2016-11-09,9.0,10.689574890350878
2016-11-09,10.0,8.367921441441444
2016-11-09,11.0,7.334159848484847
2016-11-09,12.0,7.023646121212121
2016-11-09,13.0,6.834450694444444
2016-11-09,14.0,6.541596911764706
2016-11-23,1.0,8.8688
2016-11-23,2.0,8.872319710381133
2016-11-23,3.0,8.87568245246877
2016-11-23,4.0,8.86743377241438
2016-11-23,5.0,8.856525147531231
2016-11-23,6.0,8.86702105379451
2016-11-23,7.0,8.872907814214422
2016-11-23,8.0,8.863464543723975
2016-11-23,9.0,8.852636827343668
2016-11-23,10.0,8.851316463879387
2016-11-23,11.0,7.715020954449957
2016-11-23,12.0,7.10739963050163
2016-11-23,13.0,6.828466183739838
2016-11-23,14.0,6.586497227840571
2016-11-23,15.0,6.478875969588369
2016-12-06,1.0,6.9554
2016-12-06,2.0,6.960565168547669
2016-12-06,3.0,6.95720684592756
2016-12-06,4.0,6.960132056802565
2016-12-06,5.0,6.959169653582154
2016-12-06,6.0,6.961070872692654
2016-12-06,7.0,6.958945894465893
2016-12-06,8.0,6.95798868039468
2016-12-06,9.0,6.957529917953668
2016-12-06,10.0,6.956377895752896
2016-12-06,11.0,6.955413899154256
2016-12-06,12.0,6.934465730262282
2016-12-06,13.0,6.857319063609063
2016-12-06,14.0,6.612015879363328
2016-12-12,1.0,6.071384558835656
2016-12-12,2.0,6.066271364069347
2016-12-12,3.0,6.059611862096539
2016-12-12,4.0,6.058322704373069
2016-12-12,5.0,6.05332628277955
2016-12-12,6.0,6.046520394037319
2016-12-12,7.0,6.046125660023678
2016-12-12,8.0,6.0474
2016-12-12,9.0,6.0426751289134435
2016-12-12,10.0,6.044518960025999
2016-12-12,11.0,6.038244866482505
2016-12-12,12.0,5.980980807110255
2016-12-12,13.0,6.382351519337015
2016-12-12,14.0,6.612656071209331
2016-12-12,15.0,6.514886133927977
