depth (m)	u (m/s)	v (m/s)	T (°C)	S	k	eps
-0.00	0.00	0.00	12.44	0.16	3.0E-06	5.0E-10
-1.00	0.00	0.00	9.84	0.18	3.0E-06	5.0E-10
-2.00	0.00	0.00	8.41	0.19	3.0E-06	5.0E-10
-3.00	0.00	0.00	7.14	0.20	3.0E-06	5.0E-10
-4.00	0.00	0.00	6.42	0.20	3.0E-06	5.0E-10
-5.00	0.00	0.00	5.72	0.21	3.0E-06	5.0E-10
-6.00	0.00	0.00	5.47	0.21	3.0E-06	5.0E-10
-7.00	0.00	0.00	5.24	0.21	3.0E-06	5.0E-10
-8.00	0.00	0.00	5.11	0.22	3.0E-06	5.0E-10
-9.00	0.00	0.00	4.90	0.22	3.0E-06	5.0E-10
-10.00	0.00	0.00	4.78	0.22	3.0E-06	5.0E-10
-11.00	0.00	0.00	4.77	0.22	3.0E-06	5.0E-10
-12.00	0.00	0.00	4.67	0.23	3.0E-06	5.0E-10
-13.00	0.00	0.00	4.63	0.23	3.0E-06	5.0E-10
-14.00	0.00	0.00	4.60	0.23	3.0E-06	5.0E-10
-15.00	0.00	0.00	4.62	0.23	3.0E-06	5.0E-10
-16.00	0.00	0.00	4.62	0.23	3.0E-06	5.0E-10
