"",16.000
16147.1667,2.7610E+02
16147.3333,2.9547E+02
16147.5000,3.2407E+02
16147.6667,3.2597E+02
16147.8333,3.1695E+02
16148.0000,3.0786E+02
16148.1667,2.5983E+02
16148.3333,2.5609E+02
16148.5000,2.6497E+02
16148.6667,2.6876E+02
16148.8333,2.5449E+02
16149.0000,2.4672E+02
16149.1667,2.5504E+02
16149.3333,2.6780E+02
16149.5000,3.0141E+02
16149.6667,3.0891E+02
16149.8333,2.7907E+02
16150.0000,2.6917E+02
16150.1667,3.1920E+02
16150.3333,3.3876E+02
16150.5000,3.7438E+02
16150.6667,3.7701E+02
16150.8333,3.5971E+02
16151.0000,3.3868E+02
16151.1667,3.3368E+02
16151.3333,3.4409E+02
16151.5000,3.4027E+02
16151.6667,3.2415E+02
16151.8333,3.2075E+02
16152.0000,3.1330E+02
16152.1667,2.8758E+02
16152.3333,2.8200E+02
16152.5000,2.8404E+02
16152.6667,2.8876E+02
16152.8333,2.8452E+02
16153.0000,2.8498E+02
16153.1667,2.6008E+02
16153.3333,2.6491E+02
16153.5000,2.7132E+02
16153.6667,2.6726E+02
16153.8333,2.5830E+02
16154.0000,2.4881E+02
16154.1667,2.8280E+02
16154.3333,2.9869E+02
16154.5000,3.1667E+02
16154.6667,3.1656E+02
16154.8333,3.0181E+02
16155.0000,2.8947E+02
16155.1667,2.3765E+02
16155.3333,2.4492E+02
16155.5000,2.4889E+02
16155.6667,2.5475E+02
16155.8333,2.5153E+02
16156.0000,2.4128E+02
16156.1667,2.2738E+02
16156.3333,2.4104E+02
16156.5000,2.5909E+02
16156.6667,2.6597E+02
16156.8333,2.5597E+02
16157.0000,2.4803E+02
16157.1667,2.4256E+02
16157.3333,2.5656E+02
16157.5000,2.7376E+02
16157.6667,2.7527E+02
16157.8333,2.5670E+02
16158.0000,2.4846E+02
16158.1667,2.4207E+02
16158.3333,2.6158E+02
16158.5000,2.8769E+02
16158.6667,2.8900E+02
16158.8333,2.6749E+02
16159.0000,2.5617E+02
16159.1667,2.4846E+02
16159.3333,2.6388E+02
16159.5000,2.9712E+02
16159.6667,3.0005E+02
16159.8333,2.6927E+02
16160.0000,2.6101E+02
16160.1667,2.5885E+02
16160.3333,2.7783E+02
16160.5000,3.0479E+02
16160.6667,3.0623E+02
16160.8333,2.8452E+02
16161.0000,2.7442E+02
16161.1667,2.6505E+02
16161.3333,2.7848E+02
16161.5000,3.0151E+02
16161.6667,3.0152E+02
16161.8333,2.8370E+02
16162.0000,2.6870E+02
16162.1667,3.2408E+02
16162.3333,3.5077E+02
16162.5000,3.8067E+02
16162.6667,3.9000E+02
16162.8333,3.5370E+02
16163.0000,3.4700E+02
16163.1667,3.3291E+02
16163.3333,3.4244E+02
16163.5000,3.5900E+02
16163.6667,3.5874E+02
16163.8333,3.3371E+02
16164.0000,3.2969E+02
