"",16.000
16147.1667,-1.8292E+01
16147.3333,2.4928E-01
16147.5000,5.2572E+00
16147.6667,4.6013E+00
16147.8333,7.0443E+00
16148.0000,2.2625E+00
16148.1667,-1.9281E+00
16148.3333,-7.5393E-01
16148.5000,1.0348E+00
16148.6667,1.5363E+00
16148.8333,-8.5945E+00
16149.0000,-1.7916E+01
16149.1667,-2.1697E+01
16149.3333,-6.2860E+00
16149.5000,2.3122E+00
16149.6667,3.7272E+00
16149.8333,-2.9061E+00
16150.0000,-7.8689E+00
16150.1667,-1.3880E+01
16150.3333,-1.1952E+00
16150.5000,6.8417E-01
16150.6667,1.3409E+00
16150.8333,2.2918E+00
16151.0000,-5.7015E+00
16151.1667,-7.7644E+00
16151.3333,-2.3528E+00
16151.5000,-4.2639E+00
16151.6667,-1.5586E+01
16151.8333,-1.5860E+01
16152.0000,-2.1420E+01
16152.1667,-2.4342E+01
16152.3333,-2.9276E+01
16152.5000,-2.5900E+01
16152.6667,-2.0748E+01
16152.8333,-2.4695E+01
16153.0000,-2.3115E+01
16153.1667,-2.4635E+01
16153.3333,-1.8956E+01
16153.5000,-1.4639E+01
16153.6667,-1.3301E+01
16153.8333,-2.6124E+01
16154.0000,-3.6805E+01
16154.1667,-4.0656E+01
16154.3333,-2.2805E+01
16154.5000,-1.6532E+01
16154.6667,-1.3326E+01
16154.8333,-2.4715E+01
16155.0000,-3.5055E+01
16155.1667,-3.2219E+01
16155.3333,-2.4684E+01
16155.5000,-1.6586E+01
16155.6667,-1.0709E+01
16155.8333,-1.5568E+01
16156.0000,-2.7071E+01
16156.1667,-3.4539E+01
16156.3333,-1.4963E+01
16156.5000,-5.0246E+00
16156.6667,1.1377E-02
16156.8333,-7.2882E+00
16157.0000,-1.4075E+01
16157.1667,-1.9460E+01
16157.3333,-4.3479E+00
16157.5000,2.5326E+00
16157.6667,1.7322E+00
16157.8333,-9.6351E+00
16158.0000,-1.4798E+01
16158.1667,-2.4199E+01
16158.3333,-2.0603E+00
16158.5000,2.8765E+00
16158.6667,4.7093E-01
16158.8333,-4.6938E+00
16159.0000,-1.0282E+01
16159.1667,-1.6888E+01
16159.3333,-5.1831E-01
16159.5000,3.8125E+00
16159.6667,2.6225E+00
16159.8333,-2.8172E+00
16160.0000,-8.1271E+00
16160.1667,-1.6037E+01
16160.3333,5.4971E-02
16160.5000,2.8036E+00
16160.6667,1.6126E+00
16160.8333,-4.2304E+00
16161.0000,-8.2053E+00
16161.1667,-9.0688E+00
16161.3333,6.1517E-01
16161.5000,3.6394E+00
16161.6667,2.7690E+00
16161.8333,-4.9998E-01
16162.0000,-8.8126E+00
16162.1667,-1.3411E+01
16162.3333,7.5282E-01
16162.5000,-3.5683E-01
16162.6667,-1.7788E+00
16162.8333,-7.8909E+00
16163.0000,-5.2697E+00
16163.1667,-8.5549E+00
16163.3333,-1.5716E+00
16163.5000,2.6342E+00
16163.6667,5.4941E-01
16163.8333,-9.5240E+00
16164.0000,-1.0383E+01
16164.1667,-1.2342E+01
16164.3333,-2.1631E+00
16164.5000,2.6935E-01
16164.6667,2.3573E-01
16164.8333,-4.5639E+00
16165.0000,-1.0989E+01
16165.1667,-1.0249E+01
16165.3333,-1.3052E+00
16165.5000,7.2031E-01
16165.6667,-1.4906E-01
16165.8333,-4.8937E+00
16166.0000,-4.7937E+00
16166.1667,-4.8074E+00
16166.3333,-3.0360E+00
16166.5000,-3.4093E+00
16166.6667,4.4470E-02
16166.8333,-8.0433E+00
16167.0000,-1.3934E+01
16167.1667,-1.7706E+01
16167.3333,-1.9733E+00
16167.5000,-3.2527E+00
16167.6667,6.6394E-01
16167.8333,-8.5239E+00
16168.0000,-1.2000E+01
16168.1667,-4.8035E+00
16168.3333,-6.7295E+00
16168.5000,-5.5828E+00
16168.6667,-9.9114E-01
16168.8333,-7.3390E+00
16169.0000,-1.1371E+01
16169.1667,-1.5027E+01
16169.3333,-9.1504E+00
16169.5000,-6.0180E+00
16169.6667,-2.2393E+00
16169.8333,-1.8407E+01
16170.0000,-2.6754E+01
16170.1667,-3.3394E+01
16170.3333,-8.5113E+00
16170.5000,3.7392E-01
16170.6667,2.9412E+00
