"",16.000
16147.1667,-2.9686E+01
16147.3333,-1.3137E+01
16147.5000,-2.0136E+01
16147.6667,-1.3957E+01
16147.8333,-2.3394E+01
16148.0000,-1.8940E+01
16148.1667,-1.9554E+01
16148.3333,-1.6964E+01
16148.5000,-1.1893E+01
16148.6667,-2.1203E+01
16148.8333,-2.6467E+01
16149.0000,-3.0098E+01
16149.1667,-2.9935E+01
16149.3333,-2.0186E+01
16149.5000,-1.4490E+01
16149.6667,-1.1268E+01
16149.8333,-2.3341E+01
16150.0000,-2.4970E+01
16150.1667,-2.9645E+01
16150.3333,-1.5507E+01
16150.5000,-1.2237E+01
16150.6667,-4.9755E+01
16150.8333,-2.2839E+01
16151.0000,-2.6352E+01
16151.1667,-2.6242E+01
16151.3333,-2.7296E+01
16151.5000,-1.8746E+01
16151.6667,-2.5986E+01
16151.8333,-2.5274E+01
16152.0000,-2.9427E+01
16152.1667,-3.4441E+01
16152.3333,-3.6401E+01
16152.5000,-3.3664E+01
16152.6667,-3.4420E+01
16152.8333,-3.0641E+01
16153.0000,-2.9472E+01
16153.1667,-3.1526E+01
16153.3333,-3.0909E+01
16153.5000,-3.2794E+01
16153.6667,-3.5605E+01
16153.8333,-3.4540E+01
16154.0000,-4.0187E+01
16154.1667,-4.2448E+01
16154.3333,-3.5840E+01
16154.5000,-4.6805E+01
16154.6667,-4.0426E+01
16154.8333,-4.2264E+01
16155.0000,-4.1688E+01
16155.1667,-3.9513E+01
16155.3333,-3.3530E+01
16155.5000,-3.1491E+01
16155.6667,-2.7263E+01
16155.8333,-2.6975E+01
16156.0000,-3.3773E+01
16156.1667,-3.5611E+01
16156.3333,-2.7031E+01
16156.5000,-3.0168E+01
16156.6667,-8.0833E+00
16156.8333,-2.1471E+01
16157.0000,-2.3385E+01
16157.1667,-2.5807E+01
16157.3333,-1.5763E+01
16157.5000,-1.4595E+01
16157.6667,-1.2669E+01
16157.8333,-2.5415E+01
16158.0000,-2.6832E+01
16158.1667,-3.1100E+01
16158.3333,-1.9962E+01
16158.5000,-1.5534E+01
16158.6667,-1.2079E+01
16158.8333,-2.2464E+01
16159.0000,-2.5485E+01
16159.1667,-3.0752E+01
16159.3333,-1.5401E+01
16159.5000,-1.5916E+01
16159.6667,-1.3126E+01
16159.8333,-2.3121E+01
16160.0000,-2.5184E+01
16160.1667,-2.8655E+01
16160.3333,-3.8658E+00
16160.5000,-1.4433E+01
16160.6667,-1.7457E+01
16160.8333,-2.4875E+01
16161.0000,-2.2096E+01
16161.1667,-2.0015E+01
16161.3333,-5.7098E+00
16161.5000,-1.8085E+01
16161.6667,-1.3811E+01
16161.8333,-1.2309E+01
16162.0000,-2.2283E+01
16162.1667,-2.4777E+01
16162.3333,-1.3253E+01
16162.5000,-3.7299E+01
16162.6667,-5.9227E+01
16162.8333,-4.5095E+01
16163.0000,-3.1704E+01
16163.1667,-2.8522E+01
16163.3333,-1.7174E+01
16163.5000,-1.7684E+01
16163.6667,-7.9384E+00
16163.8333,-2.9398E+01
16164.0000,-2.6660E+01
16164.1667,-2.6406E+01
16164.3333,-1.7329E+01
16164.5000,-1.6629E+01
16164.6667,-9.6427E+00
16164.8333,-2.3646E+01
16165.0000,-2.6986E+01
16165.1667,-2.1765E+01
16165.3333,-1.1187E+01
16165.5000,-9.5694E+00
16165.6667,-6.2580E+00
16165.8333,-9.4398E+00
16166.0000,-8.8616E+00
16166.1667,-8.7094E+00
16166.3333,-6.9356E+00
16166.5000,-2.5656E+01
16166.6667,-8.3609E+00
16166.8333,-1.9036E+01
16167.0000,-2.2959E+01
16167.1667,-2.6121E+01
16167.3333,-1.6683E+01
16167.5000,-4.3589E+01
16167.6667,-2.1134E+01
16167.8333,-2.8277E+01
16168.0000,-2.9871E+01
16168.1667,-2.1930E+01
16168.3333,-2.4187E+01
16168.5000,-2.6955E+01
16168.6667,-2.3220E+01
16168.8333,-4.0332E+01
16169.0000,-4.0858E+01
16169.1667,-4.0923E+01
16169.3333,-4.0140E+01
16169.5000,-4.4235E+01
16169.6667,-4.0544E+01
16169.8333,-4.9588E+01
16170.0000,-5.1337E+01
16170.1667,-5.1335E+01
16170.3333,-3.2232E+01
16170.5000,-3.2674E+01
16170.6667,-3.4441E+01
16170.8333,-4.1232E+01
16171.0000,-4.0895E+01
16171.1667,-4.4240E+01
16171.3333,-3.4323E+01
16171.5000,-4.9962E+01
16171.6667,-5.8809E+01
16171.8333,-5.3050E+01
16172.0000,-4.4211E+01
16172.1667,-3.5266E+01
16172.3333,-2.1662E+01
16172.5000,-1.9394E+01
16172.6667,-1.3414E+01
16172.8333,-2.3749E+01
16173.0000,-2.2396E+01
16173.1667,-2.5984E+01
16173.3333,-2.1952E+01
16173.5000,-3.7826E+01
16173.6667,-3.0021E+01
16173.8333,-4.7715E+01
16174.0000,-5.2978E+01
16174.1667,-5.4782E+01
16174.3333,-4.2507E+01
16174.5000,-2.4122E+01
16174.6667,-4.2415E+01
16174.8333,-5.8056E+01
16175.0000,-6.5605E+01
16175.1667,-6.8441E+01
16175.3333,-6.7549E+01
16175.5000,-7.1620E+01
16175.6667,-8.1371E+01
16175.8333,-8.6723E+01
16176.0000,-7.9032E+01
16176.1667,-7.8925E+01
16176.3333,-7.6548E+01
16176.5000,-9.0964E+01
16176.6667,-8.1675E+01
16176.8333,-7.2348E+01
16177.0000,-7.5418E+01
16177.1667,-7.9159E+01
16177.3333,-6.3619E+01
16177.5000,-1.0741E+02
16177.6667,-9.7457E+01
16177.8333,-7.8856E+01
16178.0000,-7.3926E+01
16178.1667,-6.8359E+01
16178.3333,-5.7007E+01
16178.5000,-4.6988E+01
16178.6667,-7.2165E+01
16178.8333,-6.5838E+01
16179.0000,-6.2344E+01
16179.1667,-6.0422E+01
16179.3333,-5.8359E+01
16179.5000,-5.9340E+01
16179.6667,-4.3687E+01
16179.8333,-4.3889E+01
16180.0000,-5.0855E+01
16180.1667,-5.3298E+01
16180.3333,-4.1429E+01
16180.5000,-6.1969E+01
16180.6667,-5.9410E+01
16180.8333,-5.1345E+01
16181.0000,-4.2999E+01
16181.1667,-3.0542E+01
16181.3333,-2.5491E+01
16181.5000,-2.4464E+01
16181.6667,-2.2918E+01
16181.8333,-2.2267E+01
16182.0000,-2.6779E+01
16182.1667,-3.1248E+01
16182.3333,-2.0141E+01
16182.5000,-2.5487E+01
16182.6667,-1.1964E+01
16182.8333,-3.2106E+01
16183.0000,-2.9120E+01
16183.1667,-3.2384E+01
16183.3333,-1.7247E+01
16183.5000,-4.0667E+01
16183.6667,-6.0101E+01
16183.8333,-2.8694E+01
16184.0000,-2.3022E+01
16184.1667,-2.3428E+01
16184.3333,-1.8700E+01
16184.5000,-3.5424E+01
16184.6667,-3.7039E+01
16184.8333,-4.7641E+01
16185.0000,-4.0311E+01
16185.1667,-4.0359E+01
16185.3333,-2.8438E+01
16185.5000,-4.3330E+01
16185.6667,-6.2231E+01
16185.8333,-3.4402E+01
16186.0000,-2.9073E+01
16186.1667,-3.0305E+01
16186.3333,-2.8250E+01
16186.5000,-2.6363E+01
16186.6667,-2.5706E+01
16186.8333,-3.4031E+01
16187.0000,-4.7176E+01
16187.1667,-6.0560E+01
16187.3333,-5.2035E+01
16187.5000,-4.8448E+01
16187.6667,-4.8556E+01
16187.8333,-4.4086E+01
16188.0000,-5.5047E+01
16188.1667,-4.6710E+01
16188.3333,-5.0769E+01
16188.5000,-4.9527E+01
16188.6667,-4.5768E+01
16188.8333,-5.2636E+01
16189.0000,-4.8433E+01
16189.1667,-4.5680E+01
16189.3333,-4.4449E+01
16189.5000,-3.7646E+01
16189.6667,-3.2186E+01
16189.8333,-3.4283E+01
16190.0000,-4.0358E+01
16190.1667,-3.7867E+01
16190.3333,-3.4033E+01
16190.5000,-3.5408E+01
16190.6667,-3.5392E+01
16190.8333,-3.2730E+01
16191.0000,-3.1011E+01
16191.1667,-3.3000E+01
16191.3333,-2.7877E+01
16191.5000,-5.0046E+01
16191.6667,-3.2041E+01
16191.8333,-2.6598E+01
16192.0000,-3.4846E+01
16192.1667,-3.6641E+01
16192.3333,-3.5895E+01
16192.5000,-2.9335E+01
16192.6667,-2.7350E+01
16192.8333,-2.5259E+01
16193.0000,-2.6312E+01
16193.1667,-2.9525E+01
16193.3333,-4.6462E+01
16193.5000,-4.9004E+01
16193.6667,-4.5620E+01
16193.8333,-4.8664E+01
16194.0000,-4.9832E+01
16194.1667,-5.0172E+01
16194.3333,-6.0700E+01
16194.5000,-4.6387E+01
16194.6667,-4.1744E+01
16194.8333,-4.7933E+01
16195.0000,-5.2951E+01
16195.1667,-5.5595E+01
16195.3333,-4.0932E+01
16195.5000,-5.8460E+01
16195.6667,-4.2659E+01
16195.8333,-3.9913E+01
16196.0000,-4.3382E+01
16196.1667,-4.3238E+01
16196.3333,-2.3292E+01
16196.5000,-6.3483E+01
16196.6667,-5.8821E+01
16196.8333,-3.9134E+01
16197.0000,-2.5892E+01
16197.1667,-2.2903E+01
16197.3333,-1.6433E+01
16197.5000,-1.9311E+01
16197.6667,-5.5757E+01
16197.8333,-6.5992E+01
16198.0000,-3.4297E+01
16198.1667,-3.5535E+01
16198.3333,-2.7809E+01
16198.5000,-3.5124E+01
16198.6667,-4.5749E+01
16198.8333,-3.2113E+01
16199.0000,-6.9258E+01
16199.1667,-2.7152E+01
16199.3333,-1.6466E+01
16199.5000,-6.2981E+01
16199.6667,-4.1917E+01
16199.8333,-3.8263E+01
16200.0000,-3.2875E+01
16200.1667,-4.8305E+01
16200.3333,-1.9757E+01
16200.5000,-3.8808E+01
16200.6667,-1.6290E+01
16200.8333,-4.6665E+01
16201.0000,-5.5978E+01
16201.1667,-5.6745E+01
16201.3333,-7.8690E+01
16201.5000,-8.6444E+01
16201.6667,-8.8133E+01
16201.8333,-1.1022E+02
16202.0000,-6.6555E+01
16202.1667,-6.3031E+01
16202.3333,-6.5083E+01
16202.5000,-9.2910E+01
16202.6667,-8.2047E+01
16202.8333,-6.3678E+01
16203.0000,-6.3833E+01
16203.1667,-6.0733E+01
16203.3333,-7.0354E+01
16203.5000,-7.0683E+01
16203.6667,-8.3451E+01
16203.8333,-6.6236E+01
16204.0000,-5.9169E+01
16204.1667,-6.4961E+01
16204.3333,-7.5178E+01
16204.5000,-5.9281E+01
16204.6667,-5.8377E+01
16204.8333,-5.8597E+01
16205.0000,-6.8704E+01
16205.1667,-6.0682E+01
16205.3333,-5.1147E+01
16205.5000,-5.5747E+01
16205.6667,-5.7057E+01
16205.8333,-5.4051E+01
16206.0000,-8.1279E+01
16206.1667,-8.4981E+01
16206.3333,-6.4687E+01
16206.5000,-7.2924E+01
16206.6667,-6.2510E+01
16206.8333,-5.4451E+01
16207.0000,-6.2211E+01
16207.1667,-5.8435E+01
16207.3333,-5.2776E+01
16207.5000,-7.2310E+01
16207.6667,-4.6187E+01
16207.8333,-5.1794E+01
16208.0000,-6.0153E+01
16208.1667,-1.0183E+02
16208.3333,-7.5574E+01
16208.5000,-7.2022E+01
16208.6667,-5.8697E+01
16208.8333,-6.3983E+01
16209.0000,-7.0737E+01
16209.1667,-7.5558E+01
16209.3333,-6.2911E+01
16209.5000,-1.0170E+02
16209.6667,-9.9083E+01
16209.8333,-1.8678E+01
16210.0000,-4.9811E+01
16210.1667,-4.5291E+01
16210.3333,-1.3365E+01
16210.5000,-2.3635E+01
16210.6667,-1.4470E+01
16210.8333,-3.5156E+01
16211.0000,-4.3768E+01
16211.1667,-4.4347E+01
16211.3333,-1.2927E+01
16211.5000,-4.9746E+01
16211.6667,-1.2674E+02
16211.8333,-1.1241E+02
16212.0000,-9.2321E+01
16212.1667,-3.4469E+01
16212.3333,-2.2976E+01
16212.5000,-2.6295E+01
16212.6667,-3.9977E+01
16212.8333,-5.0129E+01
16213.0000,-4.5582E+01
16213.1667,-6.0871E+01
16213.3333,-6.1255E+01
16213.5000,-8.0598E+01
16213.6667,-7.4620E+01
16213.8333,-6.9814E+01
16214.0000,-6.4189E+01
16214.1667,-5.9129E+01
16214.3333,-5.4581E+01
16214.5000,-6.7986E+01
16214.6667,-6.8597E+01
16214.8333,-4.9822E+01
16215.0000,-6.0736E+01
16215.1667,-6.9932E+01
16215.3333,-5.3711E+01
16215.5000,-6.2452E+01
16215.6667,-5.4014E+01
16215.8333,-4.4017E+01
16216.0000,-5.5590E+01
16216.1667,-4.7027E+01
16216.3333,-3.9266E+01
16216.5000,-5.7160E+01
16216.6667,-4.9873E+01
16216.8333,-4.9275E+01
16217.0000,-5.5386E+01
16217.1667,-5.5141E+01
16217.3333,-5.0948E+01
16217.5000,-4.8651E+01
16217.6667,-4.7490E+01
16217.8333,-4.5251E+01
16218.0000,-5.3491E+01
16218.1667,-6.1402E+01
16218.3333,-4.3789E+01
16218.5000,-5.5762E+01
16218.6667,-5.0882E+01
16218.8333,-5.0835E+01
16219.0000,-4.7060E+01
16219.1667,-5.3193E+01
16219.3333,-4.1224E+01
16219.5000,-9.4317E+01
16219.6667,-6.1255E+01
16219.8333,-5.3665E+01
16220.0000,-4.9815E+01
16220.1667,-4.8516E+01
16220.3333,-4.4566E+01
16220.5000,-4.4277E+01
16220.6667,-4.2026E+01
16220.8333,-5.1309E+01
16221.0000,-6.6823E+01
16221.1667,-6.9796E+01
16221.3333,-6.4038E+01
16221.5000,-4.8824E+01
16221.6667,-5.3500E+01
16221.8333,-6.6826E+01
16222.0000,-7.2153E+01
16222.1667,-7.1597E+01
16222.3333,-5.7220E+01
16222.5000,-8.9034E+01
16222.6667,-1.2048E+02
16222.8333,-7.5975E+01
16223.0000,-6.8054E+01
16223.1667,-6.5145E+01
16223.3333,-5.1031E+01
16223.5000,-7.5518E+01
16223.6667,-6.4893E+01
16223.8333,-5.0642E+01
16224.0000,-5.2663E+01
16224.1667,-5.8302E+01
16224.3333,-5.1304E+01
16224.5000,-6.1602E+01
16224.6667,-5.4099E+01
16224.8333,-6.1110E+01
16225.0000,-6.7412E+01
16225.1667,-6.2301E+01
16225.3333,-4.5333E+01
16225.5000,-3.2060E+01
16225.6667,-4.0060E+01
16225.8333,-5.6366E+01
16226.0000,-5.8939E+01
16226.1667,-6.0226E+01
16226.3333,-6.3466E+01
16226.5000,-6.3004E+01
16226.6667,-5.9135E+01
16226.8333,-6.3738E+01
16227.0000,-6.3050E+01
16227.1667,-6.4891E+01
16227.3333,-3.3032E+01
16227.5000,-6.2041E+01
16227.6667,-4.6132E+01
16227.8333,-5.4905E+01
16228.0000,-5.4444E+01
16228.1667,-5.4975E+01
16228.3333,-1.2208E+01
16228.5000,-8.9926E+01
16228.6667,-2.7045E+01
16228.8333,-4.9206E+01
16229.0000,-5.2266E+01
16229.1667,-5.2173E+01
16229.3333,-1.9050E+01
16229.5000,-1.2518E+02
16229.6667,-3.7047E+01
16229.8333,-6.6011E+01
16230.0000,-5.4665E+01
16230.1667,-5.3208E+01
16230.3333,-2.5609E+01
16230.5000,-3.1823E+01
16230.6667,-4.0627E+01
16230.8333,-7.6397E+01
16231.0000,-5.2030E+01
16231.1667,-7.0562E+01
16231.3333,-2.0711E+01
16231.5000,-1.2202E+02
16231.6667,-1.0423E+02
16231.8333,-5.2843E+01
16232.0000,-6.4481E+01
16232.1667,-6.7469E+01
16232.3333,-5.4481E+01
16232.5000,-7.3005E+01
16232.6667,-7.6284E+01
16232.8333,-6.5314E+01
16233.0000,-7.1202E+01
16233.1667,-7.0989E+01
16233.3333,-4.5113E+01
16233.5000,-6.6183E+01
16233.6667,-7.1356E+01
16233.8333,-7.8598E+01
16234.0000,-8.4621E+01
16234.1667,-8.6003E+01
16234.3333,-6.2552E+01
16234.5000,-1.0539E+02
16234.6667,-8.9185E+01
16234.8333,-1.1079E+02
16235.0000,-9.4272E+01
16235.1667,-1.0567E+02
16235.3333,-9.4616E+01
16235.5000,-1.2042E+02
16235.6667,-1.3298E+02
16235.8333,-1.2008E+02
16236.0000,-1.3509E+02
16236.1667,-1.3685E+02
16236.3333,-1.2187E+02
16236.5000,-9.6690E+01
16236.6667,-8.7319E+01
16236.8333,-9.9017E+01
16237.0000,-1.1094E+02
16237.1667,-1.1763E+02
16237.3333,-9.7721E+01
16237.5000,-1.0352E+02
16237.6667,-1.1179E+02
16237.8333,-1.0211E+02
16238.0000,-1.2747E+02
16238.1667,-1.1792E+02
16238.3333,-9.6994E+01
16238.5000,-1.3168E+02
16238.6667,-1.1275E+02
16238.8333,-9.5689E+01
16239.0000,-9.5032E+01
16239.1667,-9.2717E+01
16239.3333,-8.9411E+01
16239.5000,-9.2376E+01
16239.6667,-1.2319E+02
16239.8333,-9.7537E+01
16240.0000,-8.3935E+01
16240.1667,-1.0135E+02
16240.3333,-7.6730E+01
16240.5000,-1.1577E+02
16240.6667,-9.9396E+01
16240.8333,-9.2722E+01
16241.0000,-8.9900E+01
16241.1667,-9.5503E+01
16241.3333,-8.4215E+01
16241.5000,-9.5865E+01
16241.6667,-8.2111E+01
16241.8333,-9.0513E+01
16242.0000,-9.5613E+01
16242.1667,-1.0722E+02
16242.3333,-8.9701E+01
16242.5000,-1.0292E+02
16242.6667,-8.5238E+01
16242.8333,-9.8098E+01
16243.0000,-1.0407E+02
16243.1667,-1.0296E+02
16243.3333,-8.0947E+01
16243.5000,-8.2796E+01
16243.6667,-5.9398E+01
