"",16.000
16147.1667,-3.5773E+02
16147.3333,-3.5636E+02
16147.5000,-3.7363E+02
16147.6667,-3.7226E+02
16147.8333,-3.6563E+02
16148.0000,-3.6206E+02
16148.1667,-3.5864E+02
16148.3333,-3.5682E+02
16148.5000,-3.6365E+02
16148.6667,-3.6746E+02
16148.8333,-3.6015E+02
16149.0000,-3.5789E+02
16149.1667,-3.5590E+02
16149.3333,-3.5515E+02
16149.5000,-3.7561E+02
16149.6667,-3.7568E+02
16149.8333,-3.6362E+02
16150.0000,-3.5952E+02
16150.1667,-3.5833E+02
16150.3333,-3.5981E+02
16150.5000,-3.8858E+02
16150.6667,-3.9476E+02
16150.8333,-3.7172E+02
16151.0000,-3.6790E+02
16151.1667,-3.6546E+02
16151.3333,-3.6418E+02
16151.5000,-3.6449E+02
16151.6667,-3.6290E+02
16151.8333,-3.6168E+02
16152.0000,-3.6044E+02
16152.1667,-3.5889E+02
16152.3333,-3.5750E+02
16152.5000,-3.5665E+02
16152.6667,-3.5653E+02
16152.8333,-3.5533E+02
16153.0000,-3.5425E+02
16153.1667,-3.5299E+02
16153.3333,-3.5216E+02
16153.5000,-3.5369E+02
16153.6667,-3.5513E+02
16153.8333,-3.5340E+02
16154.0000,-3.5211E+02
16154.1667,-3.5106E+02
16154.3333,-3.5094E+02
16154.5000,-3.6371E+02
16154.6667,-3.6082E+02
16154.8333,-3.5559E+02
16155.0000,-3.5321E+02
16155.1667,-3.5165E+02
16155.3333,-3.5068E+02
16155.5000,-3.5048E+02
16155.6667,-3.5112E+02
16155.8333,-3.5025E+02
16156.0000,-3.4925E+02
16156.1667,-3.4813E+02
16156.3333,-3.4787E+02
16156.5000,-3.6084E+02
16156.6667,-3.6150E+02
16156.8333,-3.5413E+02
16157.0000,-3.5103E+02
16157.1667,-3.4962E+02
16157.3333,-3.4959E+02
16157.5000,-3.6196E+02
16157.6667,-3.6861E+02
16157.8333,-3.5764E+02
16158.0000,-3.5344E+02
16158.1667,-3.5162E+02
16158.3333,-3.5170E+02
16158.5000,-3.7210E+02
16158.6667,-3.8543E+02
16158.8333,-3.6028E+02
16159.0000,-3.5579E+02
16159.1667,-3.5391E+02
16159.3333,-3.5391E+02
16159.5000,-3.7845E+02
16159.6667,-3.8445E+02
16159.8333,-3.6389E+02
16160.0000,-3.5840E+02
16160.1667,-3.5638E+02
16160.3333,-3.5667E+02
16160.5000,-3.7979E+02
16160.6667,-3.8850E+02
16160.8333,-3.7125E+02
16161.0000,-3.6224E+02
16161.1667,-3.5938E+02
16161.3333,-3.5958E+02
16161.5000,-3.8260E+02
16161.6667,-3.8212E+02
16161.8333,-3.6846E+02
16162.0000,-3.6366E+02
16162.1667,-3.6237E+02
16162.3333,-3.6535E+02
16162.5000,-4.0156E+02
16162.6667,-4.1677E+02
16162.8333,-3.8783E+02
16163.0000,-3.7602E+02
16163.1667,-3.7089E+02
16163.3333,-3.6933E+02
16163.5000,-3.7387E+02
16163.6667,-3.7776E+02
16163.8333,-3.7257E+02
16164.0000,-3.6973E+02
16164.1667,-3.6802E+02
16164.3333,-3.6915E+02
16164.5000,-3.8547E+02
16164.6667,-3.8795E+02
16164.8333,-3.8065E+02
16165.0000,-3.7562E+02
16165.1667,-3.7111E+02
16165.3333,-3.6997E+02
16165.5000,-3.7172E+02
16165.6667,-3.7131E+02
16165.8333,-3.7038E+02
16166.0000,-3.6952E+02
16166.1667,-3.6854E+02
16166.3333,-3.6784E+02
16166.5000,-3.8780E+02
16166.6667,-3.9077E+02
16166.8333,-3.7296E+02
16167.0000,-3.6979E+02
16167.1667,-3.6894E+02
16167.3333,-3.7229E+02
16167.5000,-4.0780E+02
16167.6667,-4.0009E+02
16167.8333,-3.8617E+02
16168.0000,-3.7924E+02
16168.1667,-3.7509E+02
16168.3333,-3.7305E+02
16168.5000,-3.7491E+02
16168.6667,-3.7611E+02
16168.8333,-3.7375E+02
16169.0000,-3.7220E+02
16169.1667,-3.7070E+02
16169.3333,-3.7033E+02
16169.5000,-3.7939E+02
16169.6667,-3.8187E+02
16169.8333,-3.7505E+02
16170.0000,-3.7232E+02
16170.1667,-3.7081E+02
16170.3333,-3.7068E+02
16170.5000,-3.8878E+02
16170.6667,-3.8709E+02
16170.8333,-3.7931E+02
16171.0000,-3.7464E+02
16171.1667,-3.7315E+02
16171.3333,-3.7461E+02
16171.5000,-4.0492E+02
16171.6667,-4.1408E+02
16171.8333,-3.9189E+02
16172.0000,-3.8224E+02
16172.1667,-3.7802E+02
16172.3333,-3.7840E+02
16172.5000,-3.8448E+02
16172.6667,-3.8391E+02
16172.8333,-3.8118E+02
16173.0000,-3.7938E+02
16173.1667,-3.7801E+02
16173.3333,-3.7771E+02
16173.5000,-3.9221E+02
16173.6667,-3.9262E+02
16173.8333,-3.8369E+02
16174.0000,-3.8008E+02
16174.1667,-3.7843E+02
16174.3333,-3.7846E+02
16174.5000,-3.9217E+02
16174.6667,-3.8960E+02
16174.8333,-3.8368E+02
16175.0000,-3.8100E+02
16175.1667,-3.7921E+02
16175.3333,-3.7849E+02
16175.5000,-3.8430E+02
16175.6667,-3.8605E+02
16175.8333,-3.8181E+02
16176.0000,-3.7974E+02
16176.1667,-3.7800E+02
16176.3333,-3.7752E+02
16176.5000,-3.8156E+02
16176.6667,-3.8331E+02
16176.8333,-3.8077E+02
16177.0000,-3.7888E+02
16177.1667,-3.7758E+02
16177.3333,-3.7797E+02
16177.5000,-4.1201E+02
16177.6667,-4.0780E+02
16177.8333,-3.8605E+02
16178.0000,-3.8142E+02
16178.1667,-3.7975E+02
16178.3333,-3.7925E+02
16178.5000,-3.7917E+02
16178.6667,-3.7861E+02
16178.8333,-3.7742E+02
16179.0000,-3.7631E+02
16179.1667,-3.7489E+02
16179.3333,-3.7397E+02
16179.5000,-3.7416E+02
16179.6667,-3.7417E+02
16179.8333,-3.7324E+02
16180.0000,-3.7220E+02
16180.1667,-3.7148E+02
16180.3333,-3.7352E+02
16180.5000,-3.9804E+02
16180.6667,-3.9947E+02
16180.8333,-3.8954E+02
16181.0000,-3.8230E+02
16181.1667,-3.7787E+02
16181.3333,-3.7625E+02
16181.5000,-3.7614E+02
16181.6667,-3.7626E+02
16181.8333,-3.7552E+02
16182.0000,-3.7471E+02
16182.1667,-3.7373E+02
16182.3333,-3.7389E+02
16182.5000,-3.8809E+02
16182.6667,-3.8739E+02
16182.8333,-3.7934E+02
16183.0000,-3.7630E+02
16183.1667,-3.7497E+02
16183.3333,-3.7960E+02
16183.5000,-4.0403E+02
16183.6667,-4.1239E+02
16183.8333,-3.8905E+02
16184.0000,-3.8188E+02
16184.1667,-3.7956E+02
16184.3333,-3.8527E+02
16184.5000,-4.0871E+02
16184.6667,-4.1247E+02
16184.8333,-3.9778E+02
16185.0000,-3.8837E+02
16185.1667,-3.8492E+02
16185.3333,-3.8735E+02
16185.5000,-4.1237E+02
16185.6667,-4.0284E+02
16185.8333,-3.9415E+02
16186.0000,-3.9070E+02
16186.1667,-3.8857E+02
16186.3333,-3.8798E+02
16186.5000,-3.9188E+02
16186.6667,-3.9641E+02
16186.8333,-3.9017E+02
16187.0000,-3.8839E+02
16187.1667,-3.8660E+02
16187.3333,-3.8552E+02
16187.5000,-3.8797E+02
16187.6667,-3.8715E+02
16187.8333,-3.8599E+02
16188.0000,-3.8484E+02
16188.1667,-3.8378E+02
16188.3333,-3.8308E+02
16188.5000,-3.8332E+02
16188.6667,-3.8302E+02
16188.8333,-3.8215E+02
16189.0000,-3.8128E+02
16189.1667,-3.8048E+02
16189.3333,-3.8009E+02
16189.5000,-3.8352E+02
16189.6667,-3.8269E+02
16189.8333,-3.8132E+02
16190.0000,-3.8051E+02
16190.1667,-3.7985E+02
16190.3333,-3.7957E+02
16190.5000,-3.8052E+02
16190.6667,-3.8097E+02
16190.8333,-3.8003E+02
16191.0000,-3.7946E+02
16191.1667,-3.7895E+02
16191.3333,-3.7977E+02
16191.5000,-3.9958E+02
16191.6667,-3.9098E+02
16191.8333,-3.8456E+02
16192.0000,-3.8167E+02
16192.1667,-3.8049E+02
16192.3333,-3.7999E+02
16192.5000,-3.8023E+02
16192.6667,-3.8050E+02
16192.8333,-3.7999E+02
16193.0000,-3.7953E+02
16193.1667,-3.7897E+02
16193.3333,-3.7842E+02
16193.5000,-3.7805E+02
16193.6667,-3.7754E+02
16193.8333,-3.7683E+02
16194.0000,-3.7607E+02
16194.1667,-3.7503E+02
16194.3333,-3.7509E+02
16194.5000,-3.7607E+02
16194.6667,-3.7657E+02
16194.8333,-3.7559E+02
16195.0000,-3.7455E+02
16195.1667,-3.7369E+02
16195.3333,-3.7795E+02
16195.5000,-4.0389E+02
16195.6667,-4.0687E+02
16195.8333,-3.9072E+02
16196.0000,-3.8306E+02
16196.1667,-3.7983E+02
16196.3333,-3.8615E+02
16196.5000,-4.1173E+02
16196.6667,-3.9007E+02
16196.8333,-3.8582E+02
16197.0000,-3.8376E+02
16197.1667,-3.8201E+02
