"",16.000
16147.1667,0.0000E+00
16147.3333,2.4298E+02
16147.5000,4.0327E+02
16147.6667,1.1431E+02
16147.8333,0.0000E+00
16148.0000,0.0000E+00
16148.1667,0.0000E+00
16148.3333,7.1842E+01
16148.5000,4.7799E+02
16148.6667,1.4368E+02
16148.8333,0.0000E+00
16149.0000,0.0000E+00
16149.1667,0.0000E+00
16149.3333,2.4937E+02
16149.5000,4.5500E+02
16149.6667,1.6412E+02
16149.8333,0.0000E+00
16150.0000,0.0000E+00
16150.1667,0.0000E+00
16150.3333,2.2862E+02
16150.5000,4.5532E+02
16150.6667,8.4295E+01
16150.8333,0.0000E+00
16151.0000,0.0000E+00
16151.1667,0.0000E+00
16151.3333,9.7705E+01
16151.5000,5.3961E+01
16151.6667,8.3017E+00
16151.8333,0.0000E+00
16152.0000,0.0000E+00
16152.1667,0.0000E+00
16152.3333,2.1073E+01
16152.5000,5.8431E+01
16152.6667,3.4485E+01
16152.8333,0.0000E+00
16153.0000,0.0000E+00
16153.1667,0.0000E+00
16153.3333,1.8264E+02
16153.5000,5.3450E+02
16153.6667,9.9301E+01
16153.8333,0.0000E+00
16154.0000,0.0000E+00
16154.1667,0.0000E+00
16154.3333,2.2127E+02
16154.5000,5.1023E+02
16154.6667,7.4715E+01
16154.8333,0.0000E+00
16155.0000,0.0000E+00
16155.1667,0.0000E+00
16155.3333,6.4178E+01
16155.5000,1.7274E+02
16155.6667,7.8228E+01
16155.8333,0.0000E+00
16156.0000,0.0000E+00
16156.1667,0.0000E+00
16156.3333,2.1968E+02
16156.5000,4.8437E+02
16156.6667,1.0888E+02
16156.8333,0.0000E+00
16157.0000,0.0000E+00
16157.1667,0.0000E+00
16157.3333,2.6087E+02
16157.5000,4.7926E+02
16157.6667,1.5741E+02
16157.8333,0.0000E+00
16158.0000,0.0000E+00
16158.1667,0.0000E+00
16158.3333,2.9726E+02
16158.5000,4.7352E+02
16158.6667,1.6891E+02
16158.8333,0.0000E+00
16159.0000,0.0000E+00
16159.1667,0.0000E+00
16159.3333,2.6980E+02
16159.5000,4.8725E+02
16159.6667,1.3091E+02
16159.8333,0.0000E+00
16160.0000,0.0000E+00
16160.1667,0.0000E+00
16160.3333,2.6534E+02
16160.5000,4.7415E+02
16160.6667,1.4783E+02
16160.8333,0.0000E+00
16161.0000,0.0000E+00
16161.1667,0.0000E+00
16161.3333,2.6885E+02
16161.5000,4.7288E+02
16161.6667,1.0441E+02
16161.8333,0.0000E+00
16162.0000,0.0000E+00
16162.1667,0.0000E+00
16162.3333,2.9311E+02
16162.5000,3.7166E+02
16162.6667,1.8807E+02
16162.8333,0.0000E+00
16163.0000,0.0000E+00
16163.1667,0.0000E+00
16163.3333,8.6210E+01
16163.5000,1.3698E+02
16163.6667,7.0884E+01
16163.8333,0.0000E+00
16164.0000,0.0000E+00
16164.1667,0.0000E+00
16164.3333,1.6284E+02
16164.5000,3.0972E+02
16164.6667,1.1112E+02
16164.8333,0.0000E+00
16165.0000,0.0000E+00
16165.1667,0.0000E+00
16165.3333,1.1207E+02
16165.5000,9.4831E+01
16165.6667,2.5544E+01
16165.8333,0.0000E+00
16166.0000,0.0000E+00
16166.1667,0.0000E+00
16166.3333,6.3221E+01
16166.5000,4.7160E+02
16166.6667,1.6667E+02
16166.8333,0.0000E+00
16167.0000,0.0000E+00
16167.1667,0.0000E+00
16167.3333,3.0557E+02
16167.5000,4.5947E+02
16167.6667,2.1329E+02
16167.8333,0.0000E+00
