"",16.000
16147.1667,1.6000E+01
16147.3333,1.6000E+01
16147.5000,1.6000E+01
16147.6667,1.6000E+01
16147.8333,1.6000E+01
16148.0000,1.6000E+01
16148.1667,1.6000E+01
16148.3333,1.6000E+01
16148.5000,1.6000E+01
16148.6667,1.6000E+01
16148.8333,1.6000E+01
16149.0000,1.6000E+01
16149.1667,1.6000E+01
16149.3333,1.6000E+01
16149.5000,1.6000E+01
16149.6667,1.6000E+01
16149.8333,1.6000E+01
16150.0000,1.6000E+01
16150.1667,1.6000E+01
16150.3333,1.6000E+01
16150.5000,1.6000E+01
16150.6667,1.6000E+01
16150.8333,1.6000E+01
16151.0000,1.6000E+01
16151.1667,1.6000E+01
16151.3333,1.6000E+01
16151.5000,1.6000E+01
16151.6667,1.6000E+01
16151.8333,1.6000E+01
16152.0000,1.6000E+01
16152.1667,1.6000E+01
16152.3333,1.6000E+01
16152.5000,1.6000E+01
16152.6667,1.6000E+01
16152.8333,1.6000E+01
16153.0000,1.6000E+01
16153.1667,1.6000E+01
16153.3333,1.6000E+01
16153.5000,1.6000E+01
16153.6667,1.6000E+01
16153.8333,1.6000E+01
16154.0000,1.6000E+01
16154.1667,1.6000E+01
16154.3333,1.6000E+01
16154.5000,1.6000E+01
16154.6667,1.6000E+01
16154.8333,1.6000E+01
16155.0000,1.6000E+01
16155.1667,1.6000E+01
16155.3333,1.6000E+01
16155.5000,1.6000E+01
16155.6667,1.6000E+01
16155.8333,1.6000E+01
16156.0000,1.6000E+01
16156.1667,1.6000E+01
16156.3333,1.6000E+01
16156.5000,1.6000E+01
16156.6667,1.6000E+01
16156.8333,1.6000E+01
16157.0000,1.6000E+01
16157.1667,1.6000E+01
16157.3333,1.6000E+01
16157.5000,1.6000E+01
16157.6667,1.6000E+01
16157.8333,1.6000E+01
16158.0000,1.6000E+01
16158.1667,1.6000E+01
16158.3333,1.6000E+01
16158.5000,1.6000E+01
16158.6667,1.6000E+01
16158.8333,1.6000E+01
16159.0000,1.6000E+01
16159.1667,1.6000E+01
16159.3333,1.6000E+01
16159.5000,1.6000E+01
16159.6667,1.6000E+01
16159.8333,1.6000E+01
16160.0000,1.6000E+01
16160.1667,1.6000E+01
16160.3333,1.6000E+01
16160.5000,1.6000E+01
16160.6667,1.6000E+01
16160.8333,1.6000E+01
16161.0000,1.6000E+01
16161.1667,1.6000E+01
16161.3333,1.6000E+01
16161.5000,1.6000E+01
16161.6667,1.6000E+01
16161.8333,1.6000E+01
16162.0000,1.6000E+01
16162.1667,1.6000E+01
16162.3333,1.6000E+01
16162.5000,1.6000E+01
16162.6667,1.6000E+01
